# Polymarket CLOB forward-filled to 1 row/sec; odds are not stored on-chain per second.
# slug=sol-updown-5m-1774458000 title="Solana Up or Down - March 25, 1:00PM-1:05PM ET"
# window_unix=1774458211..1774458240 (30 rows) generated=2026-03-25T17:04:02.114Z
# polygon_meta={"alchemy_polygon_chainId":137,"alchemy_latest_block":84669103,"alchemy_latest_block_ts":1774458241}
second_index,unix_seconds,iso_utc,up_decimal,down_decimal,up_cents,down_cents
0,1774458211,2026-03-25T17:03:31.000Z,0.685,0.315,68.50,31.50
1,1774458212,2026-03-25T17:03:32.000Z,0.685,0.315,68.50,31.50
2,1774458213,2026-03-25T17:03:33.000Z,0.685,0.315,68.50,31.50
3,1774458214,2026-03-25T17:03:34.000Z,0.685,0.315,68.50,31.50
4,1774458215,2026-03-25T17:03:35.000Z,0.685,0.315,68.50,31.50
5,1774458216,2026-03-25T17:03:36.000Z,0.685,0.315,68.50,31.50
6,1774458217,2026-03-25T17:03:37.000Z,0.685,0.315,68.50,31.50
7,1774458218,2026-03-25T17:03:38.000Z,0.685,0.315,68.50,31.50
8,1774458219,2026-03-25T17:03:39.000Z,0.685,0.315,68.50,31.50
9,1774458220,2026-03-25T17:03:40.000Z,0.685,0.315,68.50,31.50
10,1774458221,2026-03-25T17:03:41.000Z,0.685,0.315,68.50,31.50
11,1774458222,2026-03-25T17:03:42.000Z,0.685,0.315,68.50,31.50
12,1774458223,2026-03-25T17:03:43.000Z,0.685,0.315,68.50,31.50
13,1774458224,2026-03-25T17:03:44.000Z,0.685,0.315,68.50,31.50
14,1774458225,2026-03-25T17:03:45.000Z,0.685,0.315,68.50,31.50
15,1774458226,2026-03-25T17:03:46.000Z,0.685,0.315,68.50,31.50
16,1774458227,2026-03-25T17:03:47.000Z,0.685,0.315,68.50,31.50
17,1774458228,2026-03-25T17:03:48.000Z,0.685,0.315,68.50,31.50
18,1774458229,2026-03-25T17:03:49.000Z,0.685,0.315,68.50,31.50
19,1774458230,2026-03-25T17:03:50.000Z,0.685,0.315,68.50,31.50
20,1774458231,2026-03-25T17:03:51.000Z,0.685,0.315,68.50,31.50
21,1774458232,2026-03-25T17:03:52.000Z,0.685,0.315,68.50,31.50
22,1774458233,2026-03-25T17:03:53.000Z,0.685,0.315,68.50,31.50
23,1774458234,2026-03-25T17:03:54.000Z,0.685,0.315,68.50,31.50
24,1774458235,2026-03-25T17:03:55.000Z,0.685,0.315,68.50,31.50
25,1774458236,2026-03-25T17:03:56.000Z,0.685,0.315,68.50,31.50
26,1774458237,2026-03-25T17:03:57.000Z,0.685,0.315,68.50,31.50
27,1774458238,2026-03-25T17:03:58.000Z,0.685,0.315,68.50,31.50
28,1774458239,2026-03-25T17:03:59.000Z,0.685,0.315,68.50,31.50
29,1774458240,2026-03-25T17:04:00.000Z,0.685,0.315,68.50,31.50
